Referencia,Descricao,Preco/Metro,DataInicio,DataFim,Observacoes,Unidade,MedidaBase,PrecoRS/CE,PrecoRS/RS,PrecoCE/CE,PrecoMG,Peso,Custo/RS,Custo/BA/CE,nov./22,,PRAZO,,14,14,,7,18,20
M7012,(cad.tranç.32FU.redondo algodão encerrado),,22/01/2024,,,PAR,100cm,"2,68","2,97",,,,,,,,,,,,,,,
M9022,(cad.tranç.16fus.pol),,03/05/2023,,,METRO,1000mm,"0,27","0,3","0,31",,,,,,,,,,,,,,
M9022,(cad.tranç.16fus.pol),,03/05/2023,,,PAR,100cm,"0,56","0,63","0,65",,,,,,,,,,,,,,
M9030,(cad.pol.tranç.16fus.pol),,15/06/2021,,,METRO,1000mm,"0,45","0,5",,,,,,,,,,,,,,,
M9045,(cad.tranç.16fus.pol.),,15/06/2021,,,PAR,100cm,"0,81","0,9",,,,,,,,,,,,,,,
M9088,(cad.tranç.16fus.pol.bicolor 5mm),,23/09/2022,,,METRO,1000mm,"0,58","0,64",,,,,,,,,,,,,,,
M9088,(cad.tranç.16fus.pol.bicolor 5mm),,04/11/2022,,(desconto concedido 04/11/2022) ,METRO,1000mm,"0,45","0,5",,,,,,,,,,,,,,,
MCC,(meia cana algodão 16/2 c/pol.trama 5mm),,28/06/2022,,,METRO,1000mm,"0,89","0,99",,,,,,,,,,,,,,,
meia cana 15mm,algodão 5mm trama poliéster,,15/06/2021,,,PAR,100cm,"1,38","1,53",,,,,,,,,,,,,,,
meia cana algodão 5mm trama poliéster,,,28/06/2022,,,METRO,5mm,"0,89","0,99",,,,,,,,,,,,,,,
MER,(Elast.red.pol. EL TR-286,,27/07/2021,,,PAR,100cm,"2,16","2,38",,,,,,,,,,,,,,,
MER,EL TR-286,,20/05/2021,,,METRO,"2,5mm","1,07","1,19",,,,,,,,,,,,,,,
MER,(Elast.red.pol. EL TR-286,,20/05/2021,,,METRO,2mm,"0,92","1,02",,,,,,,,,,,,,,,
MER,"(preço MER 3,0mm por par)",,20/05/2021,,,METRO,3mm,"1,28","1,42",,,,,,,,,,,,,,,
