Referencia,Descricao,Preco/Metro,DataInicio,DataFim,Observacoes,Unidade,MedidaBase,PrecoRS,PrecoBA,PrecoCE,PrecoMG,Peso,Custo/RS,Custo/BA/CE,nov./22,,PRAZO,60/90,-3,-3
MR140.018,(cad.tranç.48fu 2fios p/esp.PET Puma M15051),,24/09/2024,,,PAR,100cm,"1,46",,,,,,,,,,,,
MR140.021,(cad.tranç.48fu 3fios PET p/espula Lacoste M15097),,23/06/2025,,,PAR,100cm,"1,56",,,,,,,,,,,,
MR130.001,(cad.tranç.32f.fio PET cores Puma),,29/03/2022,,,PAR,100cm,"1,6",,,,,,,,,,,,
MR130.001,(desconto p/março 2024) (cad.tranç.32f.fio PET cores Puma),,06/03/2024,,(desconto p/março 2024),PAR,100cm,"1,36",,,,,,,,,,,,
MR130.002,(cad.tranç.32fu.fio PET 6mm M13119),,29/03/2022,,,PAR,100cm,"1,1",,"1,07",,,,,,,,,,
MR130.016,(cad.tranç.32fu.fio PET 6mm PUMA M18006),,01/07/2024,,,PAR,100cm,"1,33",,,,,,,,,,,,
MR110.001,(cad.tear PET tubular 6mm M10046),,28/06/2024,,,PAR,100cm,"1,21",,"1,18",,,,,,,,,,
MR110.017,(cad.tear 76fios PET 10mm cores M12154),,24/10/2024,,,PAR,100cm,"1,18",,"1,15",,,,,,,,,,
MR110.018,(Cad.tear PET tubular 8mm c/2almas ench. PUMA),,11/10/2023,,,PAR,100cm,"1,98",,"1,92",,,,,,,,,,
MR110.019,(Cad.tear PET tubular 8mm c/3almas ench. PUMA),,01/02/2024,,,PAR,100cm,"2,08",,"2,02",,,,,,,,,,
MR110.027,(cad.tear 64fios PET tub. 8mm c/2almas ench.pol.PUMA),,22/11/2024,,,PAR,100cm,"1,27",,,,,,,,,,,,
MR130.029,(cad.tranç.32fu.2fios PET p/espu. 6mm c/pont.retangular PUMA),,18/09/2025,,,PAR,100cm,"1,1",,,,,,,,,,,,
Fio poliéster 2x167/48,(conicalado em tubetes padrão) (linha galoneira),,06/07/2022,,(conicalado em tubetes padrão),KG,,"58,00",,,,,,,,,,,,
LINHA COSTURA GALONEIRA,(conicalado em tubetes padrão),,06/07/2022,,(conicalado em tubetes padrão),KG,,"58,00",,,,,,,,,,,,
Guiné,(fita),,01/09/2022,,,METRO,12mm,"1,04",,"1,01",,,,,,,,,,
MFGEL,(fita tear 132fios helanca cores Oakley),,06/12/2024,,,METRO,10mm,"1,1",,,,,,,,,,,,
MDP/2P,(fita tear fio POLIMP reforçado),,19/02/2021,,,METRO,15mm,"0,58",,"0,56",,,,,,,,,,
MFG,(fita tear pol.),,01/09/2022,,,METRO,12mm,"0,40",,"0,39",,,,,,,,,,
MFG,(fita tear pol.c/goma),,01/09/2022,,,METRO,12mm,"0,46",,"0,45",,,,,,,,,,
MFG,(fita tear pol.),,01/09/2022,,,METRO,15mm,"0,50",,"0,49",,,,,,,,,,
MFG,(fita tear pol.c/goma),,01/09/2022,,,METRO,15mm,"0,58",,"0,56",,,,,,,,,,
MFG,(fita tear pol.c/goma),,01/09/2022,,,METRO,25mm,"0,96",,"0,93",,,,,,,,,,
MFP,(fita tear poliester),,11/02/2021,,,METRO,10mm,"0,55",,"0,53",,,,,,,,,,
MFP,(fita tear poliester),,11/02/2021,,,METRO,12mm,"0,66",,"0,64",,,,,,,,,,
MFP,(fita tear poliester),,11/02/2021,,,METRO,15mm,"0,82",,"0,80",,,,,,,,,,
MFP,(fita tear poliester),,11/02/2021,,,METRO,16mm,"0,88",,"0,85",,,,,,,,,,
MFP,(fita tear poliester),,11/02/2021,,,METRO,18mm,"0,99",,"0,96",,,,,,,,,,
MFP,(fita tear poliester),,11/02/2021,,,METRO,20mm,"1,10",,"1,07",,,,,,,,,,
MFGP,(fita tear pol.),,25/01/2021,,,METRO,6mm,"0,34",,"0,33",,,,,,,,,,
MFGP,(fita tear pol. c/goma,,25/01/2021,,,METRO,6mm,"0,41",,"0,40",,,,,,,,,,
MFGP,(fita pol.6mm ponteirado),,29/12/2020,,,PAR,100cm,,,"0,67",,,,,,,,,,
MFGP,(fita tear pol.c/goma),,25/01/2021,,,METRO,8mm,"0,43",,"0,42",,,,,,,,,,
MFGP,(fita tear pol.s/goma),,25/01/2021,,,METRO,10mm,"0,54",,"0,52",,,,,,,,,,
MFGP,(fita tear pol.c/goma),,25/01/2021,,,METRO,10mm,"0,68",,"0,66",,,,,,,,,,
MFGP,(fita tear pol.s/goma),,25/01/2021,,,METRO,12mm,"0,65",,"0,63",,,,,,,,,,
MFGP,(fita tear pol.c/goma),,25/01/2021,,,METRO,12mm,"0,82",,"0,80",,,,,,,,,,
MFGP,(fita tear pol.s/goma),,25/01/2021,,,METRO,14mm,"0,76",,"0,74",,,,,,,,,,
MFGP,(fita tear pol.c/goma),,25/01/2021,,,METRO,14mm,"0,95",,"0,92",,,,,,,,,,
MFGP,(fita tear pol.),,25/01/2021,,,METRO,15mm,"0,77",,"0,75",,,,,,,,,,
MFGP,(fita tear pol.c/goma),,25/01/2021,,,METRO,15mm,"1,02",,"0,99",,,,,,,,,,
MFGP,(fita tear pol.s/goma),,25/01/2021,,,METRO,18mm,"0,92",,"0,89",,,,,,,,,,
MFGP,(fita tear pol.c/goma),,25/01/2021,,,METRO,18mm,"1,22",,"1,18",,,,,,,,,,
MFGP,(fita tear pol.),,25/01/2021,,,METRO,20mm,"1,08",,"1,05",,,,,,,,,,
MFGP,(fita tear pol.c/goma),,25/01/2021,,,METRO,20mm,"1,36",,"1,32",,,,,,,,,,
MFGP,(fita tear pol. Normal),,25/01/2021,,,METRO,25mm,"1,35",,"1,31",,,,,,,,,,
MFGP,(fita tear pol.),,25/01/2021,,,METRO,28mm,"1,51",,"1,46",,,,,,,,,,
MFGP,(fita tear pol.),,25/01/2021,,,METRO,36mm,"1,94",,"1,88",,,,,,,,,,
