Referencia,Descricao,Preco/Metro,DataInicio,DataFim,Observacoes,Unidade,MedidaBase,PrecoRS,PrecoBA,PrecoCE,PrecoMG,Peso,Custo/RS,Custo/BA/CE,nov./22
M31126(fita tear 86fios pol.bicolor c/goma FILA),,,01/11/2022,,,metro,12 MM,"0,67","0,65","0,65",,,"0,74","0,72",
M31126(fita tear 86fios pol.bicolor c/goma FILA),,,01/11/2022,,,metro,12 MM,"0,74","0,72","0,72",,,,,
,,,11/07/2024,,,metro,15 MM,,,,,,"0,94","0,91",
,,,01/11/2022,,,metro,15 MM,"0,94","0,91","0,91",,,,,
,,,,,,,,,,,,,,,
M31123(fita tear 104fios pol.com frizo cores New Balance),,,22/11/2024,,,metro,15 MM,,,,,,"0,88","0,85",
M31123(fita tear 104fios pol.com frizo cores New Balance),,,1/11/2022,,,metro,15 MM,"0,88","0,85","0,85",,,,,
,,,,,,,,,,,,,,,
,,,01/11/2022,,,metro,15 MM,"0,87","0,84","0,84",,,"0,67","0,65",
,,,01/11/2022,,,metro,15 MM,"0,67","0,65","0,65",,,,,
,,,,,,,,,,,,,,,
M31132(fita tear 84fios pol. Tubular s/ench. c/goma Nike),,,01/11/2022,,,metro,18 MM,"1,04","1,00","1,00",,,"1,18","1,14",
M31132(fita tear 84fios pol. Tubular s/ench. c/goma Nike),,,01/11/2022,,,metro,18 MM,"1,18","1,14","1,14",,,,,
M31132(fita tear 84fios pol. Tubular s/ench. c/goma Nike),,,01/11/2022,,,,,"0,96","0,93","0,93",,,,,
M31130(fita tear 128fios Polimp tingido meadas New Balance),,,14/11/2024,,,metro,18 MM,,,,,,"0,97","0,94",
M31130(fita tear 128fios Polimp tingido meadas New Balance),,,1/11/2022,,,metro,18 MM,"0,97","0,94","0,94",,,,,
M31134(fita tear 93fios pol. c/borda3mm e centro 6mm c/goma Adidas),,,1/11/2022,,,metro,12 MM,"0,72","0,70","0,70",,,"0,87","0,84",
M31134(fita tear 93fios pol. c/borda3mm e centro 6mm c/goma Adidas),,,1/11/2022,,,metro,12 MM,"0,87","0,84","0,84",,,,,
,,,,,,,,,,,,,,,
M31135(fita tear 132fios pol. c/2frizos meio New Balance),,,01/11/2022,,,metro,10 MM,"0,74","0,72","0,72",,,"1,04",1,
M31135(fita tear 132fios pol. c/2frizos meio New Balance),,,01/11/2022,,,metro,10 MM,"1,04","1,00","1,00",,,,,
